review,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
"lampu kurang terang, lantai kamar juga seperti belum dipel. semoga jadi lebih baik lagi. terima kasih",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Kloset Kamar mandi kurang bersih..dan air panasnya tidak panas. Bahkan kalau pagi airnya dingin.,neut,neg,neut,neut,neg,neut,neut,neut,neut,neut
"Yang berkesan pelayanannya ramah, yg kurang berkesan yaitu ac kamar meneteskan air dari bagian yg mengeluarkan angin. Solusi dari pihak hotel  yaitu menampung air tadahan pakai wadah.Semoga ke depannya bisa diperbaiki.",neg,neut,neut,neut,neut,neut,pos,neut,neut,neut
tempat yg nyaman dan tenang untuk istirahat..tp tolong ac nya kurang dingin..semoga di perhatikan..,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"ruangannya oke, cemilannya mungkin ditambah roti atau kopi dan teh ya harga naik 5-10rb gapapalah biar seperti bintang 4, ohiya di fulmar house fasilitasnya tersedia air panas tapi diweb airyrooms fulmar gak tersedia air panas, sama securitynya mengintimidasi gak ramah juga sama tamu.",neut,neg,neut,neut,neut,neg,neg,neut,neut,neut
"Pelayanan ramah customer service ramah. Cuma bantal kecil agak bau dan selimutnya juga, pintu kamar ",neut,neut,neut,neut,neut,neg,neg,neut,neut,neut
Bagus.. Kurang ramah aja petugas nya ,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
Acnya model jadul.. Berisikkk parahh bkn susah tdur n kurang dngin.. Dtmbh lg air panasny cm brfungs,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
AC panas sampai harus buka jendela.,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"lumayan lah buat harga penginapan yg ga terlalu mahal untuk tempat ditengah kota. tempatnya bersih, gak bising. cocok buat istirahat. tapi saran aja nih yaa, tv nya terlalu tinggi. jadi gabisa ditonton. gambarnya kayak gelep gitu, hehe. over all sih nyaman. wifi nya ga ada tapi,hiks. buat anak kuliahan yg mau traveling, dan backpaker reccomended nih. dibawah juga ada tempat laundry an nya. lumayan sambil tidur bisa sambil nunggu baju di laundry, hihi. kemaren siih aku kesana pesen kamar buat org 2, tapi temennya ga jadi karna ketinggalan pesawat. jadi sendirian, sepi, hening :) ",neut,neut,neut,pos,pos,neut,neut,neut,neg,neg
"kamar dan ruang tamu cukup luas, lokasi sangat strategis hanya kebersihan yg hrs di tingkatkan lagi. ",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
good.. ada snack di stiap kamar. cm syg pas dpt kamar 305 ac nya gak dingin sm sekali. selebihnya keren. langganan dsini. ,neg,neut,neut,pos,neut,pos,neut,neut,neut,neut
"Fasilitas TV tidak ada chanelnya, gak ada selimut, tidur tidak nyenyak karena banyak nyamuk. Mohon fasilitasnya diperbaiki. Tks",neut,neut,neut,neut,neut,neg,neut,neut,neg,neut
"handuknya kurang, sprei dan selimut agak kurang bersih , selebihnya Pelayanan Baik , harga murah 😊 ",neut,neut,neut,neut,neg,neg,pos,neut,neut,neut
kebersihannya kurang. tlg diperhatikan lg. tapi better lah dengan harga segitu dan terjangkau. ,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Kamar bersih dan nyaman. cuman sayang air panasnya mati dan mohon untuk memberikan petunjuk arah kiblat agar memudahkan muslim menjalankan sholat. Selebihnya good service.. thanks airy 🙏 ,neut,neg,neut,pos,pos,neut,neut,neut,neut,neut
"air mandi tdk hangat,tdk dpt toiletries khas Airy :( tdk ada snack,bantal, dan piranti Airy :(",neut,neg,neut,neut,neut,neg,neut,neut,neut,neut
"selimutnya kuning seperti tidak bersih, lemarinya ada lumutnya. dulu nginap sini pelayanannya bagus tp skrg agak menurun",neut,neut,neut,neut,neg,neg,neg,neut,neut,neut
"desainnya suka bali bgt, makanan murah tapi lumayan lama sampainya, dan wc nya agak serem sih dan kotor juga wc nya pasir dimana2. pw sih tapi hotelnya buat santai2 di kursi depan",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"kamar tdk sesuai yg di foto ternyata sempit banget, posisi wastefel jg ada di dlm kmrmandi, sedangkan di gmbar posisi wastafel di luar, kamar mandi sempit juga pas nyalain air dri shower malah mentok ke tmbok, kamar dari asbes jdi td kedap sura brisik klo ada yg ngobrol dri luar stafnya jutek2 !!!!! mengecewakan",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"Kualitas tempat baik & bersih, hanya yang perlu dibenahi wifi nya. Soalnya sinyal hape disini jelek",neut,neut,neut,neut,pos,neut,neut,neut,neut,neg
"over all ok, kurang pewangi aja kamarnya, anak2 betah karna puas liat kereta",neut,neut,neg,pos,neut,neut,neut,neut,neut,neut
kamar kurang bersih .. air nya kecil dan sering mati. banyak nyamuk. area nya berisik. banyak anak anak muda berprilaku kurang menyenangkan. ac lumayan dingin. pelayanan cukup baik.,pos,neut,neut,neut,neg,neut,pos,neut,neut,neut
"Overall okay, cuma klosetnya jorok, air panas kurang stabil.",neut,neg,neut,pos,neg,neut,neut,neut,neut,neut
Pelayanannya kurang ramah.,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
kamar mandi lebih dirawat kenyamanannya. ,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
buruk. kasur ada bekas sperma seprai jg air bau karat kasur pernya jg rusak sabun habis pasword wifi ga tau ,neut,neut,neut,neut,neut,neg,neut,neut,neut,neg
kamar sudah cukup bagus dan luas. ac cukup lama baru dingin dan air kamar mandi agak bau pas dibuka pertama kali,neg,neut,neg,neut,neut,neut,neut,neut,neut,neut
"Kamar OK, bersih, rapi dan fasilitas OK. Hanya AC yang tidak bisa dingin, walaupun sudah di setting suhu rendah dan Fan Jetfan. Mohon diperbaiki. Overall OK. Terima kasih",neg,neut,neut,pos,pos,neut,neut,neut,neut,neut
nyaman cuma sayang AC nya bocor parah,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
saat mandi tidak ada air panasnya.,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"kamarnya kurang bersih, sarapan biasa aja.",neut,neut,neut,neut,neg,neut,neut,neg,neut,neut
"Yang berkesan adalah pihak hotel berkenan memberikan makan sahur (sebagai ganti sarapan) waktu saya menginap di sini pada bulan Ramadhan. Yang perlu diperbaiki sekiranya handuk perlu diganti, plafon perlu dicat ulang agar bersih (ada plak hitam) dan mungkin kamar perlu dicek ulang (sepertinya ada air AC yang bocor menetes di kamar. Selebihnya baik.",neg,neut,neut,pos,neg,neg,neut,pos,neut,neut
"Kamar mandi pengap karena blower tidak nyala, handuk kotor, AC tidak dingin paling rendah suhu 25°C",neg,neut,neg,neut,neg,neg,neut,neut,neut,neut
"banyak nyamuk, air mati lalu nyala tapi berwarna kehitaman, hot shower tidak berfungsi, wi-fi tidak tahu passwordnya, snack dan minum tidak diberi kalau tidak diminta. Namun kamar cukup nyaman, tenang, ranjang empuk, lokasi dekat dengan warung makan dan restoran, ac dingin, ada dispenser untuk air panas didalam kamar, ada toiletries dan handuk juga",pos,neg,neut,neut,neut,neg,neut,neut,neut,neg
"nggak ada hot water buat mandi, kasihan sikecil mandinya nggak pakai air hangat...",neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
yg pnya rumah ramah..letaknya strategis..cuma handuk dkasi sdh gak layak pakai hitam2 semua..showernya jg tlg dperbaiki airnya tdk mengalir dgn baik dan klo bs dkasi pemanas air  utk kmr mandi. overall sdh bgs..😊😊,neut,neg,neut,pos,neut,neg,pos,neut,neut,neut
"Bagus, suasana enak, strategis juga, cuman wifinya kurang lancar sama flush air kamar mandinya agak ngadat.",neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
Tidak nyaman kamar mandi bau ngga ada gantungan baju dan lingkunganya  berisik.,neut,neut,neg,neut,neut,neg,neut,neut,neut,neut
sangat mengecewakan. complain tdk ditanggapi ac dari awal check in sampe check out per 2 jam ac mati. untuk breakfastnya nasinya kurang enak,neg,neut,neut,neut,neut,neut,neut,neg,neut,neut
langit langit kamar mandi bocor perlu perbaikan. wifi tdk terjangkau. kayu pada pintu dan jendela sdh sip dgn air jadi aroma kamar jadi lembab. binatang spt semut pemakan kayu sering muncul dan mrk besar besar. sy mungkin akan cari tempat lain bila ke bali lagi.,neut,neut,neg,neut,neg,neut,neut,neut,neut,neg
"Lokasinya deket bgt dari halim. Karyawan juga ramah. Cuman sayangnya kamarnya kotor, seprei ada kotoran cicaknya, dan sepreinyaa bau. Kasur juga jeglong. Sedih banget. Semoga bisa lebih baik.",neut,neut,neut,neut,neg,neg,pos,neut,neut,neut
Proses cekin sangat lama. Staff kebingungan. ,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
seprainya dn handuknya kotor. lantainya kurang bersih. gaada sofanya sprti digambar.,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
"Posisi kamar pas di belakang Mak Beng warung, jadi kamar bau ikan goreng dan sambal terasi ",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"Saya lihat kamar masih kurang bersih yaa. Di belakang kursi, meja masih ada debu. ",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Tembok kamar kotor, channel TV buruk gak bisa nonton byk semut. Tidak ada snack airy dan suasana kamar bukan Airy Style biru putih.",neut,neut,neut,neut,neg,neg,neut,neut,neg,neut
"Balkon banyak puntung rokok, wifi ga bisa alasannya karena kamar dipojok, kunci toilet nya rusak. tapi kamar nya bersih dan tenang. Harga bersahabat. ",neut,neut,neut,neut,pos,neut,neut,neut,neut,neg
"Kursi tidak bisa dipakai, malah dijadikan ganjalan meja. Toilet becek, AC berisik, kolong kasur kotor banyak sampah. ",neg,neut,neut,neut,neg,neut,neut,neut,neut,neut
tidak ada wifi nya,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"Pengelola tidak siap, pelayanan lama, tidak sesuai dengan standar airy dimana saya pernah menginap d",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"cs ga ramah ,- tv kabel , - air panas . sering saya make airy room tapi cuman ini yg parkir bayar 5rb tiap keluar .",neut,pos,neut,neut,neut,neut,neg,neut,pos,neut
Kamar 219 kecepatan koneksi wifinya buruk. Harus didepan pintu baru bagus,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"Kamar pas, tp nyaman. TV tidak berfungsi. Hanya pelayanan kurang ramah.",neut,neut,neut,neut,neut,neut,neg,neut,neg,neut
"Saya dikunciin diluar , alesannya jam 12 malem di kunci ",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
hot shower tidak berfungsi,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
wifi nya kurang. sama bnyk nyamuk,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"fasilitas lengkap, pelayanan oke, tapi kolam renang kurang bersih, tidak dapat snack airy seperti dulu dan lebih keren lagi kalau ada slippers. ",neut,neut,neut,neut,neut,neg,pos,neut,neut,neut
"1. kamar 209 , bau apek karena lembab di toilet plafonnya menjamur dan  lubang. 2. gelas buat minum di lantai 1 kotot dan tdk cukup 3. cukup sekali saja nginap disana. apa gunanya airy tdk bs keep standard",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"Hotelnya bersih, bagus, tapi dikamar yg di dapet hot shower nya rusak, jadi gak bisa mandi air panas, tapi overall oke ",neut,neg,neut,pos,pos,neut,neut,neut,neut,neut
"Pelayanan ok, tapi... kamarnya agak pengap AC sudah agak tua dan berisik.",neg,neut,neg,neut,neut,neut,pos,neut,neut,neut
"kamar lumayan besar,tp sayang tidak ada keset kamar mandinya,dan airnya kecil,serta ac kurang dingin. tolong di perbaiki agar costumer puas,trima kasih.",neg,neut,neut,neut,neut,neg,neut,neut,neut,neut
Tempat nyaman tetapi pelayanan tidak bagus,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
kondisi kamar mandi kurang bagus serta airnya agak lengket. mungkin karena bangunan lama. Mohon ditingkatkan lagi kebersihan kamarnya. selebihnya oke. terima kasih,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Wifi tidak sampai di dalam kamar,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"kondisi kamar belum disapu,, kolong kasur banyak sampah,, kloset kotor,, bekas pipisnya ga disiram jorok. tolong sebelum tamu cek in di periksa dulu kamar dan yg lainnya. ",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"kamar tidak sesuai foto sangat kotor ,kurang terawat,,foto sangat menipu dengan keadaan sebenarnya",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Saya akan berbagi tentang pengalaman saya menginap di airy 1. ketika saya masuk ke kamar dan ingin berbaring aku mersa kecewa dengan sarung bantalnya, bau itulah kesan pertama yang ada dipikiran, dan kusut, saya berfikir ini diganti g ya sarungnya 2. banyak nyamuk 3. banyak semut, saya baru sadar ketik sampai di bandara ternyata tas q bnyk smut",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"sarapannya perlu diganti ke prasmanan, wifi nya diaktifkan ,,tempatnya tenang jauh dari keramaian kota",neut,neut,neut,neut,neut,neut,neut,neg,neut,neg
"wifi sedang gangguan, sedangkan sinyal data disana jelek",neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
sayang kamar mandi bau,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
Tempat nya nyaman hanya mines AC kurang dingin,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
bersih tapi selimut nya kurang nyaman dan menjumpai byk semut d sisi2 kamar,neut,neut,neut,neut,pos,neg,neut,neut,neut,neut
"kebersihan kurang, debu dan ada bulu rambut di tempat tidur",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
kamar bagus dan rapi..  hanya kurang wangi saja,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"Cukup luas kamarnyaa,,  hanya kamar mandi mungkin yng kurang bersihh.trimakasih airy",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Kamarnya luas,  sprei dan bantal kurang bersih.  Kmr mandi bau. Mohon d perhatikan kebersihan tempat tidur",neut,neut,neg,neut,neut,neg,neut,neut,neut,neut
lumayan murah. AC tidak dingin. kamar mandi kurang bersih. lingkungan sekitar kamar kurang bersih. ,neg,neut,neut,neut,neg,neut,neut,neut,neut,neut
kualitas furnitur dan kebersihan perlu ditingkatkan,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
TV gak bisa di pakai  sinyal parabola nya lemah,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
"tidak ada sandalnya.. wktu check in pas masuk kamar blm di set airy dan blm ada Snack nya.. overall it's ok, and nice place.. ",neut,neut,neut,pos,neut,neg,neut,neut,neut,neut
"dekat dengan halte dan stasiun. yang perlu diperbaiki menu sarapan kurang variatif dan wifi ngadat.. kamar minta dibersihin tapi kurang bersih, handuk tidak diganti.. tapi untuk lainnya udah oke.. tq",neut,neut,neut,neut,neg,neg,neut,neg,neut,neg
"tempat bersih, lampu kamar kurang terang, bed cover nampak kotor / lusuh. pelayanan baik. tissue roll di bath room jamuran / bekas basah.",neut,neut,neut,neut,pos,neg,pos,neut,neut,neut
"AC kurang dingin karena sudah lama, yg bagus kamar nya luas, dan airy rooms selalu ngasih snack Mungkin kebersihan nya perlu ditingkatkan untuk hotel ini",neg,neut,neut,neut,neg,pos,neut,neut,neut,neut
"Belum di sheeting kamarnya , biasanya setiap kali saya chek in menggunakan airy rooms . Kamar sudah di sheeting terlebih dahulu (atribut airy) seperti bantal , makanan , alat mandi . Itu belum disediakan oleh pihak hotel .",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
pelayanan kepada tamu mohon di maksimalkan,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"bangunan tua, pelayanan kurang baik, mengecewakan",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
semua nyaman . hanya lampu depan kamar mandi ada yang mati. sprei kotor,neut,neut,neut,pos,neut,neg,neut,neut,neut,neut
kurangnya kebersihan kamar mandi dan lorong menuju kamar. untunglah pelayanan cepat tanggap,neut,neut,neut,neut,neg,neut,pos,neut,neut,neut
"Tempatnya kotor, remote tv tidak berfungsi, AC bocor dan tidak ada remote.",neg,neut,neut,neut,neg,neut,neut,neut,neg,neut
Selimut/sprey kurang bersih,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"kamar berdebu,  fasilitas air panas di lantai 3 tdak ada, telfon juga tdak ada.. tp staf nya sangat ramah.. ",neut,neg,neut,neut,neg,neut,pos,neut,neut,neut
"Cukup syekali. Selimut masih bau, bikin gak nyaman tidur. Yah sesuai harga lah...",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
Per bagus wafi karna belum sampai ke kamar. Tambahkan menu untuk makanan di kantinnya,neut,neut,neut,neut,neut,neut,neut,neg,neut,neg
cuma air kurang lancar dan ac kurang dingin,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"Kebersihan kamar mohon diperhatikan,  didalam kamar, bau toilet cukup menyengat",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
untuk all overal bagus n nyaman playann juga baik. cuma sdkit mnambahi untuk sprei ada bekas noda. tp untuk hrga sgtu mantab,neut,neut,neut,pos,neut,neg,pos,neut,neut,neut
toilet bau... ngak pernah di sikat. chanel tv kurang. kmar sempit.. trus bebas yg bukan pasangan nya,neut,neut,neg,neut,neut,neut,neut,neut,neg,neut
"Kamae Mandi kurang bersih, ada puntung rokok. kamar tidur jg bau tidak sedap, AC kurang dingin... View kurang enak jg.",neg,neut,neg,neut,neg,neut,neut,neut,neut,neut
"Kecewa banget sih di hotel ini, ac mati, jelek lah pokoknya ga nyaman gua nginep di situ dan kalo booking airy ga bakal disono lagi cih",neg,neut,neut,neg,neut,neut,neut,neut,neut,neut
"kamar bersih tapi tdk ad pemanas air d dlm kamar, wifi lemot, channel TV berbintik, sarapan hanya nasi goreng.",neut,neut,neut,neut,pos,neg,neut,neg,neg,neg
"Smuanya baik, sy dan suami suka skali... hanya saja wifi.nya gak bisa d.pkai sama skali, reconnecting terus. ",neut,neut,neut,pos,neut,neut,neut,neut,neut,neg
sdh baik... hanya ac kurang dingin.,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"kamar nyaman, bersih, aman. pelayanan sangat baik dan ramah. minus hanya AC lama dinginnya. all perfect",neg,neut,neut,neut,pos,neut,pos,neut,neut,neut
pelayanan kurang ramah utk saya apa mngkin krn prohram airy,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
resepsionis cewe lemot bgt kerjanya. Ga dpt sarapan. Dpt kamar yg tidak sesuai gambar,neut,neut,neut,neut,neut,neut,neg,neg,neut,neut
tv ya masih buremm.. airy kapan di perbaiki,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
Air panasnya tidak berfungsi dan kamar mandi baunya tidak enak,neut,neg,neg,neut,neut,neut,neut,neut,neut,neut
suka bgt pke airy.... dihotelnya jg nyaman emg cuma sinyalnya yg susah tp playanan suka dngan harga sgtu cucp abis bsok q pake airy lg klo psan2 hotel,neut,neut,neut,neut,neut,neut,pos,neut,neut,neut
"pelayanan sangat ramah,tapi kamar mandi bauuu sekali..",neut,neut,neg,neut,neut,neut,pos,neut,neut,neut
"Kamar sederhana, Ranjang dan furniture baik  Cuma kamar mandi bau.",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"Fasilitas yang dijamin Airy vs kenyataan: 1. TV: chanel banyak, tp tdk ada remote 2. Free Wi-Fi: ada, tp koneksi sangat lambat bahkan utk aplikasi pengirim pesan pun tdk bs digunakan 3. AC: memuaskan 4. Comfy & clean bed: hanya 'clean' 5. Hot& cold shower: hanya 'cold' 6. Amenity kit: memuaskan 7. Free mineral water: memuaskan",pos,neg,neut,neut,neut,pos,neut,neut,neg,neg
"cukup, but keramahan yah agak kurang bagi kami.",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"Kamarnya nyaman, tapi sayang air hangatnya tidak keluar yg keluar tetap air dingin. Wifi juga tidak sampai kamar, hanya bisa di loby",neut,neg,neut,neut,neut,neut,neut,neut,neut,neg
terlalu berdebu dan kurang menarik ,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
kemaren kunci nya rusak jd kalo masuksusah buka nya dan wc nya kemaren agak kotor,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Suka&cukup nyaman selama 2 mlm di guesthouse ini.. Service memuaskan, mau apa2 pasti disiapkan,air hangat ok.. Pas bgt dapat bagian depan yg ada balkon mungilnya. Yg perlu diperbaiki sinyal wifi aja, kurang lancar.. Tapi kawasan otten pakai kartu 3 sinyal4G nya ok bgt. Tq @iry",neut,pos,neut,neut,neut,neut,pos,neut,neut,neg
"kurang bersih, banyak serangga. ",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"AC kurang dingin, bantal bau iler",neg,neut,neut,neut,neut,neg,neut,neut,neut,neut
deposit terlalu besar dan kamar bau,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"nyaman, pelayanan baik, bersih. hanya saja ada beberapa fasilitas yg kurang terawat spt kotak snack yg rusak. selebihnya perfect, ingin kesana lagi. ",neut,neut,neut,pos,pos,neg,pos,neut,neut,neut
"Sungguh liburan yang sangat mengecewakan, pelayanan yang sangat buruk dan staff yang tidak care terhadap guest. dalam 1 hari menginap 2 masalah terjadi menghampiri saya, 1 HP saya terkena tetesan air dari AC Trouble. 2 Mobil di parkiran di serempet mobil guest lain, saat security di tanya jawabannya hanya tidak tau 😒.",neg,neut,neut,neut,neut,neut,neg,neut,neut,neut
"tempat tidur nyaman, kamar bersih, ada air panas. pelayannya ramah. kamar mandi bersih. 2 malam yg sangat nyaman. tpi sayangnya tv nya antenanya gak bagus. nyala tapi tv nya banyak semutnya 😅",neut,pos,neut,neut,pos,neut,pos,neut,neg,neut
waktu di kamar mandi menemukan darah menempel di selang penyiram wc nya.  ,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
layanan y memuaskan ...masukan aja kamar yg kami tempati agak bau y kurang enak...mungkin kamar y bisa di kasih pengharum ruanagan...,neut,neut,neg,neut,neut,neut,pos,neut,neut,neut
"Lumayan nyaman, cuma ac kurang dingin dan kebersihan perlu ditingkatkan",neg,neut,neut,neut,neg,neut,neut,neut,neut,neut
"(-) Tempatnya kurang bersih. Tipe2 penginapan lama. Aku personal terus terang agak Horror. Nggak sempet sarapan soalnya baru ready jam 7, padahal keburu pergi. (+) Pegawainya cukup ramah",neut,neut,neut,neut,neg,neut,pos,neg,neut,neut
"jauh dr ekspektasi.. untung menginap diskon dr airy jd ga trlalu rugi. lantai terkelupas, seprei sprti tdk di cuci, selimut seperti seprei sgt tipis. remot ac tdk berfungsi. bahkan handuk sj hrs minta trlbh dahulu. snack tidak ada, hnya air mineral. sbtulnya klpn ada sy jrg makan, tp bukankh itu sdh standard dr airy? tdk disarankan jk hrga normal.",neg,neut,neut,neut,neut,neg,neut,neut,neut,neut
"1. Sampah penghuni sebelumnya tidak dibersihkan 2. kamar mandi becek 3. staff penginapan tidak responsif saat saya butuh bantuan turun dari kendaraan, ketika hujan deras 4. deposit yang nominalnya lebih besar dari biaya inap 5. diatas jam 21 sulit kembali ke kamar, karena pintu utama dikunci 6. sistem check-in yang lama 7. parkir yang terbatas",neut,neut,neut,neut,neg,neut,neg,neut,neut,neut
seprainya mohon diperhatikan lg. agak kotor,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
Pelayanan kurang baik,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"Kebersihan kamar kurang dijaga, saya menemukan kaus kaki bau di lemari entah punya siapa, berarti cs tidak teliti dalam membersihkan. Di sudut2 kamar jg ada sarang laba2 dan kotoran, serpihan mi instan di lantai. Pegawainya ramah dan sopan, ada free kopi & teh di lobby.",neut,neut,neut,neut,neg,neut,pos,neut,neut,neut
"Ukuran kamar kecil tapi cukup lah, wifi kebetulan lagi rusak, sinyal sangat susah krn kamar dilantai bawah, kebersihan baik, ac dingin, tv ada n berfungsi. Selimut, handuk, snack, air mineral disediakan. Pelayanan bapak kosnya cukup baik dan helpful.",pos,neut,neut,neut,pos,pos,pos,neut,pos,neg
"Lokasinya bagus, namun kondisi kamarnya cukup memprihatinkan. Mulai dari bau apek, AC yang berisik, cat dinding kamar yang terkelupas serta banyak noda, tidak ada perlengkapan mandi seperti handuk dan sikat gigi, tabung penyiram kloset tidak berfungsi, tidak ada kursi di dalam kamar dan sarapannya hanya satu pilihan yaitu nasi dengan menu seperti makan siang. Namun ini hal yang wajar mengingat harga yang paling murah dari kelas hotel bintang dua yang ada di Medan.",neg,neut,neg,neut,neg,neg,neut,neg,neut,neut
lumayan...cuman kekurangan handuk,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"kamarnya mantap, cuma airnya tidak panas....tapi over all  memuaskan",neut,neg,neut,pos,neut,neut,neut,neut,neut,neut
kesan menginap airy rooms eco tj duren timur jakarta barat : 1. receptionistnya kurang ramah 2. kondisi kamar kotor dan pengap 3. kondisi AC tidak dingin 4. banyak semut dan kecoa dikamar mandi 5. kotor ,neg,neut,neg,neut,neg,neut,neg,neut,neut,neut
"air panas gadak, 2x nginap 2 2 nya bertemu kasurnya",neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Kamar mandi bau , tdk ada bellboy",neut,neut,neg,neut,neut,neut,neg,neut,neut,neut
"fasilitas lengkap, sarapan enak, hanya saja air panas tidak menyala.",neut,neg,neut,neut,neut,neut,neut,pos,neut,neut
tv nya lain kali diperbaiki ya,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
worth it. sesuai dengan harga. sayang AC nya kurang dingin. keseluruhan sudah baik.,neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
lumayan.cocok buat salesman.. sayang tak ada air panas dan WiFi...,neut,neg,neut,neut,neut,neut,neut,neut,neut,neg
"pelayanannya ramah, gampang ditemukan lokasinyaa. tapi kamarnya kurang bersih dan kamar mandinya terdapat genangan air yang licin ",neut,neut,neut,neut,neg,neut,pos,neut,neut,neut
Dituduh mengambil remot tv dan merusak lemari. padahal kami tidak memakai lemari. Setelah dicari ketemu coba gimana ini,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
Hotel paling parah!! tidak lagi dah menginap disini...kamar bau apek...handuk tambahan bau badan orang...sprei bau badan...ac panas...parahhhhh......!!! Komplain ke Airy Room tidak ada dispensasi apapun!!! Itu komen bagus2 mungkin orang sendiri yang isi...,neg,neut,neg,neut,neut,neg,neg,neut,neut,neut
Pintu toilet rusak dan pelayanan karyawan kurang ramah ,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
shower mati deh receptionisep kurang senyum ,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
ada fasilitas wifi tp tidak dapat di gunakan. shower juga sedikit rusak,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"barang saya tertinggal di kmr pd saat sy check out, saya baru teringat dijalan bhw kalung anak saya tertinggal di toilet. pada saat saya tanya ke petugas housekeeping yang membersihkan kamar sy sebelumnya, dia bilang tdk melihatnya. jelas saya ingat meletakannya di kamar mandi di samping keran wastafel. saya tanya ke fo mlh kaya saling menutupi.",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
Ac kurang dingin,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
tempatnya tenang..bersih dan nyaman. air panas/ shower di stabilin lg,neut,neg,neut,neut,pos,neut,neut,neut,neut,neut
"Kesan:  Baik , akan jadi pelanggan. Perbaikan : Beberapa kamar sinyal internet kurang bagus terutama di beberapa kamar lantai 1.",neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
kok skrng gak ada cemilan nya ya,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
