label,tweet
anger,"[USERNAME] [USERNAME] [USERNAME] Ganti. Presiden cuma sama kaos itu pilpres diman bro jd sebutin. Presiden. Loe bkn koar2 ganti presiden, sadar diri n partai"
sadness,"lulusan sastra inggris macam apa yg ngomong bahasa inggrisnya ""curiga"" dengan kata ""curious"" !! yg bener kan ""suspicious"" :((( uda untung gw ga ngomong ""delicious"" yaallah S,S gw "
happy,"Awak sih jd org slow, mau di omongin a to z asal ale bnyk makan, ngga cranky, berat naik udh bahagia. Mslh apapun jd kyk ngga ada. Ibu2 bgt sih skrg"
anger,"Siapa sich yg dipercaya FZ polisi yg sdh bekerja dg tepat wkt dan cekatan, tetap ga di percayai, mungkin hanya di sekarang lari ke arab itu aja yg dipercaya, bgmn rakyat mau percaya FZ dan FH yg selalu nyinyir tanpa bukti"
anger,"please min [USERNAME] jaringan wifi telkom kok lemot sekali. Padahal masih serumah cuma beda lantai aja atas sama bawah, kenapa signalnya ngilang2 mulu"
happy,"(4) dan bersyukur bgt karena dipertemukan sm partner program yg diselenggarakan oleh LAZ YMM FI yaitu karantina hafiz quran, suasana iftar dan sahur yang menyenangkan dan pasti cerita seru selama karantina dan program radio. Mari kita bersyukur atas apa yang ada saat ini"
fear,"Takut kelewat magrib, jam 5 nyiapin buka (masak, beli atau cari tempat buka) pasca buka leyeh leyeh, atau ngopi (sc1 punya vietnam kopi terenak imho) pulang jam 11, udah ngantukk bgt, goler tapi tak tidur, sosmed muter yt twitter 9gag pubg sampai jam 02, smpai bangun set 4."
happy,Selain permen jahe yg kenyal2 itu aku juga suka permen sugus... selalu nyetock permen sugus di kulkas. Paling suka sugus purple grape. Dari zaman masi TK sampe sekarang rasanya ga berubah... ngangenin 
sadness,Semoga mama bapa rusing teman teman di lombok semuanya baik baik aja. Dan tdk ada gempa susulan. Semoga yg ada di rinjani lekas di evakuasi. #PrayForLombok
sadness,. Innalillahi wa inna ilaihi roji'un. turut berduka cita atas meninggalnya ibunda tercinta sohib gua memendurehmen56 semoga Almarhumah husnul khotimah serta amal ibadahnya diterima disisiNya
sadness,Memprihatinkan ada kelompok Islam yg menyisihkan kelompok nasional.. #2019TetapJokowi #Jokowi_2_Periode #JokowiBersamaRakyat
love,"TETAP SEMANGAT SAYANG-SAYANGKUH :) meskipun ku lebih banyak gegoleran di rumah ngetawain/nangisin kalian, ku kan slalu mendukungmu daam menyayangimu"
love,"Semoga dengan tayangnya film #22menit ini menjadi perantara untuk selalu menebarkan benih-benih cinta, yang akan menumbuhkan persaudaraan diantara umat manusia. #AnsorMajuSatuBarisan [URL]"
happy,"Jadi hampir seminggu nyari jam tanggan yang cocok di gue dan cocok di dia. Gue mau ini dia gamau, dia mau itu guenya gamau. Trus akhirnya dia selalu menyerah dengan pilihan gue huhu macii. trs dia pilih abu2 gue pilih hitam (warna gak couple gapapa) trus dia bilang 'yaudah hitam'"
fear,"Buat teman teman yang kuliah di bidang kesehatan, pernah ga sih kalian ngerasa insecure sama masa depan? Contohnya gini: gue kadang ngerasa was was gitu, apakah nanti dimasa depan gue akan menjadi dokter yg capable?"
anger,"Ini antrian BRI bisa buat nyuci baju, nyetrika jilbab sampe lancip, bikin kolak buat buka puasa, liat video Tasya Farasya unboxing, bikin adonan tempe goreng, milih store buat liat perbandingan harga sirup marjan nih."
fear,Mau nonton tp deg2an takut ga sama kaya imajinasi waktu baca ini
anger,"Apakah mereka tidak pernah belajar akan dampak negatif omongan besar dan kata2 kasar? Dulu pernah ada politisi menyebut Jokowi ""sinting"" karena mengemukakan gagasan Hari Santri. Ucapan bodoh ini ternyata menyumbang besar bagi kemenangan Presiden [USERNAME] dalam Pilpres 2014"
fear,Itu serem bgt lho sampe berdarah takutnya extention km banyak bakteri. Tp asli deh aku pake extention tuh emg gatel bgt jadinya mata
love,Rasanya gak pernah bosen denger suara rosa. Setiap denger dia nyanyi berasa makin sayang sama dia. Pengen yang terbaik buat dia yaampun gak pernah sesayang ini sama idola kaya sekarang ke dia. Love her so much
anger,"cc:[USERNAME] [USERNAME] ko [USERNAME] mingkem Hanya Dalam 2 Minggu 2 Bupati PDIP Kena OTT KPK, SEMAKIN JUARA KORUPSI !!! [URL]"
love,"makasih buat 2 bulannya sayang maaf kalo akhir ini sibuk bgt ga bisa selalu ada buat kamu. ga ngehubingin bukan berarti ga kangen, maaf kalo sukanya bikin nunggu sama kesel. i love you"
love,"[USERNAME] Gitu lah pokoknya. Tapi mamaku sabar banget. Kl lagi liburan smt gini aku suka bobo bareng sama mama. WKWKWK. Selera fashionnya juga bagus, simple tp gak ribet. Feminim abis gak kaya anaknya. Paling bawel masalah sholat sm kesehatan. Hadeh. T"
anger,"[USERNAME] namanya pelecehan, sekecil apapun tetep pelecehan, kalau soal beda takaran/ ukuran itu rasanya di balikin ke person nya. tapi secara general pendapat soal pelecehan pasti sama, bisa sentuhan secara fisik atau perkataan."
anger,[USERNAME] siang min. Knpa saldo bonus tcash saya tidak ada. Padahal saya udah banyak dapat sms pemberitahuannya. Dan saya langsng aktivkan tcash walet. Mohn bntuanx. Trmaksih min
love,Dan aku jatuh cinta pada pandangan matanya
anger,Itu tolong onlen shop yg barangnya udah soldout tp masih dipajang tenggelamkan aja deh. Ngapain dagang kalo barang soldout. Ditanya kapan ready bilang kaga tau. Kzl aja w -_-
anger,"Pernyataan paling mengganggu telinga malam ini keluar dr mulut Jubir Pemerintah Ali Mochtar Ngabalin: ""Pemerintah adalah representasi Tuhan di muka bumi."" Makin dekaden nalar demokrasi kita kalo pandangan begitu dibiarkan menguasai istana. Ternyata sama aja dg Pak Tua itu tuh."
fear,"Masi ga ngerti kenapa bisa takut ketinggian :') padahal dulu doyan manjat pohon depan rumah. Skrg liat ke asrama lt dasar aja ogah, apalagi ganti lampu begini T-T"
fear,Iyaa untungnyaaa .. . Jgn mantai dulu deh.. kmrn sepupuku pulang ke bali jg disaranin pake pesawat mobilny tinggal di jogja abis nyebrangnya coy horor
sadness,kali ini ku merasa cinta memaksaku untuk bicara haruskah ku menerima jika kenyataannya berbeda atau ku biarkan saja semua yang terjadi tetap seperti ini mungkinkah ku yang akan memilikinya
anger,Sebenernya udah mulai kecewa sama pakdhe [USERNAME] semenjak ada kriminalisasi KPK awal pemerintahan beliau. Ditambah kasus Novel Baswedan yg gak tuntas.
happy,"[USERNAME] Happy anniv bil wkwkwk, langgeng terus sama radiiitt, gila radit niat loh foto foto ucapan annivnyaa, sampe dibantuin jg sama cewe2 disini:))))"
anger,"YAILAH GUA KIRA KERJA HARI INI TERNYATA TGL 7, TRUS UDAH DI TEMPAT KERJA BENGONG DONG KOK GEDUNGNYA DIPAKE GRADUATION, KAMPRET KAN W UDAH DANDAN"
anger,"Gak heran sih sama driver gocar yg ngeluh macet. Sama kayak gue ngeluh pas lagi kerja. Terserah deh Pak, saya pura2 gak denger. Capek juga soalnya."
fear,"Sampe tadi tuh cerita tentang temen yg ikut kajian ibadah gitu tapi kajiannya itu menyimpang yg katanya didalem kajian itu bawa2 ganti presiden pokonya yg intinya kontra sama pemerintahan ah pokonya gitudeh, soalnya rada sensitif nih kalo bahas ginian"
anger,"Memberi bunga kepada orang yang nyinyirin hidupmu adalah cara yang paling membahagiakan. . Namun pastikan bunga tersebut bersama pot nya, saat kau lempar. . Astagfirullah"
happy,". . Entah berapa tahun yg lalu terakhir kesini, terimakasih masih di kasih kesempatan bisa ke tempat ini lagi . #explorebanten #exploreindonesia #pandeglang #mountain #pulosari"
anger,[USERNAME] Perempuan macam mana lah yg opininya bisa segoblok itu astaga. Kebanyakan ngasih free ke cowok lain kali ya jdnya B aja gt. Gila sih. Kesel bacanya gw
sadness,k-netz emang gitu. klo ngebash suka ga pake mikir deh :(
happy,"tadi tiba2 berdoa ""Ya Allah kalo emang dia bukan buat aku/ga baik buat aku tolong tunjukanlah malam ini juga"" ga sampe 2 jam udah dijawab sama Allah, MashaAllah:"") Alhamdulillah:"")"
fear,"kuat tidaknya iman seseorang itu (bisa) dilihat saat doi mulai jatuh cinta. cinta tuh ngeri, sampai sampai bisa bikin seseorang mengorbankan imannya demi cintaaa~"
fear,"jam 3 belum nongol jg. eh sampe jam 4, ditelponin bilangnya bersiap ke tkp. Kosan yg 2 lantai kamar super gede udah lengang bgt. Nungguin waswas.. sms, Pak ini saya jadi dijemput kan?"
happy,"Kebahagiaan itu segalanya ya ga sih? Jd ketika ngajak org2 ngumpul, mungkin org2 yg menolak lebih bahagia ga ikud ngumpul...gitu aja sih hehe"
happy,"Jadi kalau kita pernah salah, atau ngga salah tp di salahin... trs punya haters, ya shanthaaay say.... thats life. Jgn ampe hiduplo jd kacau cuma gegara haters"
fear,[USERNAME] sender gabisa bantu dia lapor ke komisi perlindungan anak atau polisi gitu ? sumpah menurut w udah diluar batas dan w khawatir banget sama temenmu. udah dibawa ke rumah sakit ?
happy,"Sekarang qu mengerti, dulu waktu kuliah dipaksa lembur begadang demi tugas itu semata2 buat nyiapin elu lembur begadang kek quda demi kerjaan kelar on time. Ok, lesson learned honey"
anger,"BPIP tdk ada pentingnya.BPIP cuma mmberi tempat kpd tokoh bangsa.Tempat terhormat.BPIP tdk penting. Hidupkan peljaran Budi Pekerti,PPKn dan PMP.Cukup utk bekal esok. [USERNAME] [URL]"
sadness,"WesTerima kenyataan mbah, anak lanange lebih kelihatan muda menawan, tegap dan gagah, ketimbang suaminya Cemburuuuuu Suami merasa anak lanange lebih sering dibanggakan dari pada suamine dewe "
happy,"[USERNAME] Wkwkwkwk padahal dalam 7 tahun udah berapa kali ke bandung tapi ga pernah ketemu. Tapi akhirnya ketemuuu wkwkkw b aja loh cil, jgn dilebaikan ya"
love,"Tahukah kamu, bahwa saat itu papa memejamkan matanya dan menahan gejolak dan batinnya. Bahwa papa sangat ingin mengikuti keinginanmu tapu lagi-lagi dia HARUS menjagamu?"
sadness,"Ikhlas itu berat, berat banget. Namun dengan tidak ikhlas kita malah akan disesaki oleh hal-hal yang tidak jelas, kita malah akan mengabaikan hal-hal baik yang seharusnya kita dapatkan. Kita malah tidak melihat hal-hal menarik yg seharusnya kita temukan, kami masih diam."
love,"Ritual kalo mau tidur nyanyi lagu sayang kaka Ani, sayang mamak, sayang bapa, sayang oppung, sayang abang Gio, sayang tua Gio, sayang Tua Winda (Nyebutin semua anggota keluarga besar) Namamu selalu duluan disebut dek"
happy,"[USERNAME] sama ear biscuits kalo mau random2, 99 invisible for architecture and design podcast. Oh jangan lupa dengerin ibu ibu yacult di spotify. Itu lucu.banget.wajib.denger."
happy,"Alhamdulillah ya, anak sultan ini sidang. Terharu saya :"") (@ Fakultas Hukum in Depok, Jawa Barat w/ [USERNAME]) "
happy,"3. Bau nya ndak amis dan masih bersih. 4. Klo belanja di tpi dpt ikan ato cumi2 yg masih baru dan besar2, trus harganya bisa ditawar 5. Klo ketemu nelayan bisa beli ikannya (selain di pasr ikan) yg harganya jauuhh lbh murah."
fear,Untuk kesekian kalinya getaran itu terasa lagi. walopun di tempat kami tidak terdampak gempa akan tetapi getaran2 iru cukup membuat panik semua masyarakat sehingga harus tidur di luar n tidur di lapangan
anger,"hari ini libur, rencananya mau nonton Jurassic World, tapi kayanya gajadi deh mengingat kondisi yg gak fit bgt ini sebel. Rusak rencana sebelanga.. sebel akutu"
sadness,"Iyaaa kaaaann , selama pesantren semua kegiatannya tu berkesan sampe skg esq sampe malem banget tp tar pas muhasabah melek lg trus jd sedih kangen org tua"
sadness,"Semalem pake baff, kaos tangan, sepatu lengkap kayak mau riding dan duduk didepan kasir, habis sahur lg nungguin temen bayar dikasir, biar selese bayar bisa langsung cabut, eh dikira ojol yg lg nunggu orderan sama yg punya warung, ntaps mas"
anger,"Tidak sepakat, dan anda [USERNAME] sudah menyesatkan orang lain. Dilarang sholat di dalam bangunan yang didirikan untuk kekafiran (salah satunya gereja). Makanya jangan kebanyakan nonton mak lampir. Aku berlindung kepada ALLAAH SWT."
sadness,"*Ngbrol masalah gaji* Atasan aing : waktu itu gmna sih ndre detail gajimu? Yg di jelasin pak **** Aing: gatau pak, saya nanyain gaji aja malah di marahin Atasan aing:....... Aing:......... SAVAGE *langsung ada backsound mobile legend"
anger,"Make sure sebelum ngatain orang lain jelek, you lebih kece. Make sure sebelum ngatain orang lain tolol, you lebih cerdas. Make sure sebelum ngatain orang lain drama, you bukan orang yang baperan."
sadness,"dear pak [USERNAME], pak ini beneran ta ndak ada libur setelah hari raya pak:( masa tanggal merah sehari aja pakk, baru pulang sholat-takbiran masa langsung merantau lagi pak:( [URL]"
love,"Kok aku jatuh cinta banget sama kamu kalau lagi poni samping sayang Apalagi kalau senyum gini, rela deh ngelakuin apapun buat jagain senyuman diwajah kamu By : [USERNAME]"
anger,[USERNAME] [USERNAME] [USERNAME] Cek aja tuh mana yg Surat Keterangan Tidak Mampu n mana yg Surat Keterangan Tidak Malu [USERNAME]
happy,"Wozniacki out! Daria Kasatkina ini lhoo..mainnya gendeng, super kencang & nampar2. Hebattt. Goodluck!"
fear,"Jam 9 malem, sebioskop cuma berdua doank, pas lampu-lampu mulai dimatiin eee ujuk-ujuk teaser coming soon-nya film horor Ketika Iblis Menjemput. Laaahhh... Ya jadi deg-deg serrr!!!"
sadness,Portugal rasanya akan jadi yang paling lemah diantara 8 tim kandidat lain. Modal mereka juara EURO 2018 cuma HOKI!!! + catatan Ronaldo di Piala Dunia buruk. Paling mentok di 16 atau 8 besar.
happy,"Saya hanyalah ciptaan tuhan, bukan superhero apalagai malaikat. Saya hanya bisa melalukan apa yang saya lakukan. Itulah saya, anak nomor tiga yang murah hati, dan saya mohon, semoga anda cepat tau"
love,"Kamu memang dingin. Tapi kamu perhatian. Kamu keras. Denganmu, aku diajarkan caranya jadi wanita yang tidak manja. Tetap tangguh. Ah sayang :)"
happy,"Tuhan tidak memberi kita hati dan mulut untuk mengeluh dan mengomel, malainkan Ia mengajari kita untuk Bersyukur melalui hati dan mulut kita. Selamat siang sahabatku."
love,Punya impian? Tulis saja dan pandangi setiap saat sambil didoakan agar segera terwujud. Termasuk mimpi ingin segera ke baitullah. Yakinkan diri bahwa suatu saat akan sampai tanah suci.
love,"Cinta akan selalu membuka pintu maaf ketika anda melakukan hilaf, cinta akan menjadi lentera dikala dunia menjadi gelap, jagalah cinta hingga pada akhirnya matamu akan terlelap."
anger,"Percuma bukti numpuk tapi deflasi keberanian. Lihat kasus Munir. Kurang apa buktinya. Lihat kasus Udin, buktinya malah disingkirkan/dihilangkan secara sengaja. Dan kasus2 lainnya [URL]"
anger,[USERNAME] sy tdk percaya ktp akan jadi 1-2 hari Krn sy juga tdk percaya anggaran e ktp di korupsi oleh para anggota Dewan yg Terhormat (mungkin bapak lebih tahu atau pura pura tidak tahu...?) [URL]
anger,"[USERNAME] Gw dong. Udah dibilang ga mau ke tempat itu tp ngeyel isi ngejebak mau beliin sesuatu lah. Akhirnya ngomel dah dijalan, eh malah die yg ngamuk naik motor kayak ga bawa anak orang. Gw teriak2 sampe nangis ga digubris malah makin kenceng bawa"
sadness,"Daritadi notifikasi twitter saya tidak berhenti berbunyi, padahal saya mau tidur, saya cek dan ternyata semua notifikasi dari BMKG yang mengabarkan gempa-gempa susulan yang terjadi di Lombok. Saya benar-benar sedih dan saya berdoa semoga kita mendapat perlindungan Tuhan. Amin."
fear,"[USERNAME] kalau untuk barang elektronik gitu gimana? kadang takut mau buang headset dan baterai ke tempat sampah. soalnnya kan bahaya...trs sama botol spray, katanya bisa meledak di suhu yg tinggi.."
anger,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] kelakuan kampungan kalian itu mbok ya jangan kelewatan lah,, malu2in.. #Peak212"
happy,"TGB PILIHAN UMMAT Ummat Islam dari pelbagai penjuru negeri: Aceh, Padang, Riau, Lampung, Palembang, Kaltim, Sulsel, Papua, DKI, Jabar, Jateng, Jogja, Jatim, Bali, NTB, NTB semua menyatakan dukungannya kpd TGB. Karena mereka merindukan pemimoin yg amanah"
sadness,Diyana sakid Hati. Ia menggerogoti pensil untuk menghilangkan kesedihannha.
fear,Suami gak dukung lahiran normal. Dari awal nyuruh sesar ajaa. Takut akunya gak kuat ngelahirin 2 anak. Aku jadi takut juga bawaannya. Tp kalo denger testi orang yg sc gak ada yg bilang lebih enak dari normal 
fear,"Lebih banyak cara utk membenci, krn sangat mudah menemui setan dimanapun kita berada. Lbh sulit untuk mencintai sesama, krn setan juga ada dimana mana dan dg siapa saja"
anger,"#ILCBPIP Betul Prof suteki. Klo memang perlu Bpip itu didirikan.. Masa orangnya yg gk paham pancasila "" akhirat itu ramalan Masa depan"".. ck ck.. politik balas Budi nihh.."
fear,Aku mulai takut menghadapi hari. Seperti disiksa mendadak. Aku takut dia tidak kembali.
sadness,"Banyak orang di klub PB Jaten muda yang menganjurkan saya fokus Badminton, tapi ayah ngotot, sehingga saya memutuskan masuk SMA saja dan Temen Dwi Sulistyono masuk SMK. Selepas itu, kita jarang dipasangkan lagi, karena dia jarang datang latihan dan sibuk dengan Ngutik motor"
fear,"Ga biasa bahkan gapernah naik ojol di salah satu st, hampir aja bermasalah disamperin opang. Untung gue dan si mas ojol (ganteng) masih dijaga sama Allah. Ngeri banget sih"
happy,Lagi ngerasain bahagia yg sederhana bagi gw pribadi. Ngeliat orang2 di sekitar gw ikut ngerasain bahagia sama yang lagi gw jalanin dengan seseorang. Ga pernah sebahagia ini sih dan se good vibes ini ngejalaninnya. Thanks God.
anger,[BELAJARLAH DEMI ORANGTUAMU!!!] KALIAN TAU!! Orang tua kalian telah banting tulang untuk kita Panas ke panasan Hujan
happy,Inget jaman SD sekitar kelas 3-4an. Tiap pulang sekolah pasti mampir ke rumahnya [USERNAME] buat main dan nonton meteor garden sama mamahnya. Ikut mandi sama makan juga. Baru pulang kalo udah di telepon mamah. Haha.
happy,PERSIBKU MENANG LAGI .. PERSIBKU MENANG LAGI .. Oooo ..Oooo ..Oooo .. Oooooooooo .. [USERNAME] #PERSIBDAY #pucuk #JUARA #awaydays #bantul #bobotohsaalamdunya #banggamengawalmu
sadness,"Aku sempet nonton beritanya wkt di thailand. Cuma karena ga ngerti bahasanya jadi aku diem aja nde  baru nyampe bali baru ngeh yang aku tonton berita tentang itu --"""
anger,"Tapi baru di jaman ini hutang tembus 4000an T, baru di jaman ini juga mako brimob kebobolan, dan baru di jaman ini juga bocah cina nghina presiden dibilang lucu2an, dan di jaman ini pula geruduk kantor berita sambil m"
anger,"Saya tanya serius ya, bila [USERNAME] ngumbar ngember nama debitur ke media, bukankah melanggar PBI [USERNAME] kerahasiaan nasabah? [URL]"
sadness,Sepertinya semua orang diwajibkan menjadi bunglon di negara antah berantah ini. Apakah ini konsekuensi dari sistem pemerintahan presidensial tapi penerapannya l sistem pemerintahan [URL]
anger,"Mau nanya dong [USERNAME] tadi saya paketin internet berbagi, itu saya pikir utk orang lain. Tapi malah paket saya yg aktif. Ini bagaimana ya? Klo begini saya rugi. Padahal sy mau ngirim ke adik saya.. [URL]"
love,Karena setiap perjalanan selalu punya cerita. Maka kali ini adalah cerita tentang aku yang tak pernah bisa move on dari rasa kagum akan indahnya alam ini..
fear,"Membeli kolak untuk berbuka puasa. Biasanya habis tp td tida. Mau dibuang sayang, mau dibesokin takut basi. Teringat kt nyokap 'siapa tau berkahnya disuapan terakhir'. Akhirnya dg segenap jiwa raga kuhabiskan kolak tsb "
happy,"Selepas Munas KAHMI kemarin kami PKMD [USERNAME] sempat menikmati Kopi Kok Tong, mantab rasanya Kanda. Sehat dan sukses terus kanda.. Barakallah [URL]"
happy,Alhamdulillah akhirnya bisa makan sahur bareng mbah gugel walo cerewet #KulinerTradisional #kulinerBanyuwangi #BakulKuliner #WarungLya [URL]
sadness,"Ok.. Jam 10:25 tanggal 10 Juli 2018, Fix gue ngerasa yang aneh dan ngerasa lo udah berubah dari biasanya.. Obayk...!!!!! Saya understand.."
happy,"Sehat selalu buat kita semua, maju terus pantang mundur. Bersemangat lah kawan mari berjuang untuk Indonesia yang lebih baik, Indonesia yang sehat, Indonesia Kuat, salam Sehat dari Puskesmas SUM , Halmahera Selatan. [USERNAME] terus maju [USERNAME]"
anger,"klikbca seringkali susah dimaksud termasuk skrg. kalau dijawab Internet saya bermasalah, saya akan bilang itu omong kosong krn saya ga ada masalah buka Website lain."
happy,Selamat ulang tahun tehskikuu sayang [USERNAME] perbedaan yg sangat jauh  dulu mah aing kucel hideung enamah yah beginilah hahaha [URL]
sadness,"Kenapa sekarang bisa beda banget sama pas sma ya Di tanah rantau bener bener sadar kalo gak semua orang itu bahagia,gak semua orang itu tulus"
happy,"Lg ngobrol sama Kiya dek, doain mamah ya dek, supaya bisa blablabla. Dek Kiya bantu doa ya. *Manggut-manggut, senyum"". Tulus bgt mukanya. Meski ga ngerti apa yg dimaksud, tp tiap bilang doain ya dek dia pasti senyum"" smbl peluk."
fear,"Hehe kak, aku nih diajakin nonton sabrina aja ngeri setengah modyar! Dibioskop cuma merem sambil tutup telinga."
love,"Aku ramal kamu akan datang kerumahku bertemu orangtuaku, entah itu sebagai tamu undangan di pernikahanku atau justru sebagai pendampingku. Aku yakin itu "
fear,nyeberang lewat pelican crossing yang ada di deket UP aja masih ngeri motor mobil susah ngalah
love,Modal haha-haha bareng aja bisa jatuh cinta. Nyaman bisa datang dari hal yang sereceh itu :))
sadness,"Biasanya kalo lg ada masalah ada temen cerita. Ntah kenapa skrg jadi susah. Sedang bener2 lelah disuruh bikin sanlat tp mikir sendiri dari hulu ke hilir, walaupun dibantuin satu bapak2 tp dia sibuk kerja"
sadness,"Hari ke enam dikota ketiga, dan sudah mulah terasa lelahnya kaki dan kangennya ngeliat mamah :/ hmm sampe lupa abon yg dibekelin kaga ke makan :D"
sadness,"Kegiatan tadi pagi bikin aku sama ibu kompak beristigfar ""dek elma bangun, solat subuh dulu"" Memang yah kalau sudah kebiasaan tiba2 hilang kerasa bgt kehilangan nya."
love,"My reaction : ""ASTAGFIRULLAH INI ANAK SIAPA GANTENG BANGET BGST, SUARANYA JUGA BAGUS, LAGU NYA JUGA BAGUS, NADA NYA PAS BGT DITELINGA GUE. WOEE GUE LUV BANGET SAMA BTS SUMPAH!"""
happy,"Semoga lancar, selamat Pesantrenku Menuju Usia 1 Abad. Usia dimana dilahirkanya Para Pembaharu-pembaharu dibidangnya. Dan Semoga Pesantrenku menjadi salah satunya"
love,"Dibalik kecemburuan,terselip rasa kasih sayang yg dalam. Maka dr itu,cemburu diperlukan dlm setiap hubungan,tetapi tetap dlm kadar yg wajar tentunya:)"
fear,Drama kmarin sore : seharian puasa trus pas lg mandi kaget bcz kedatangan tamu tak diundang pas bgt woi pas lagi adzan maghrib trus jd galau dong seharian itu dianggap sah puasa apa enggak-_-
love,"Cewek itu walaupun sengaja nyemburuin cowoknya didepannya , tapi tetep aja rasa cintanya sama orang itu masih ada. So,guys, kalo cewe lo cmburu , artinya dia masih cinta sama lo!"
love,"Um thanks for [USERNAME] yang nayangin teleseries "" jejak suara adzan "", jatuh cinta sama trailer dan eps pertama. Ditambah pemeran dimas, my favorite actor. "
happy,"Tapi seneng juga karna [USERNAME] secara langsung merilis mini album pertama. Rilis 6 april, pada waktu perkuliahan semester 6 dan terdapat 6 lagu di dalam EP tersebut. This how it works."
sadness,Udah gitu. Aku pake Vaseline gitu kan di bulu mata sama alis. Disimpan deh tuh si Vaseline di atas lemari (posisinya kaca sebelah lemari) udah gitu kan pake yang lain juga. Pas nyimpen yang lain. Aku baru ngeh. Vaseline nya udah ga ada 
fear,"Sebelnya kalo udah anxiety tuh tbtb sakit perut, mual, panik, takut, ngerasa sendiri, sedih. Padahal yang gue hadepin bukan apa apa, tapi selalu anxiety duluan knp sih. Cape lho."
sadness,"[USERNAME] Nama mirip? Ya mereka cuma punya dikit sih pilihan nama, cuma dibulak balik aja urutannya  muka mirip? ku sebagai fanboy kpop juga sering ketuker/bingung kalo liat idol yg ngk diikutin/ngefans bgt"
love,"[USERNAME] Sebelumnya aku ga tertarik sama cowo yg lebih muda, tapi pacarku skrng lebih muda setahun dibanding aku. Udah tau sih dari awal tapi ya gimana ya namanya udah sayang. Semua yg gasuka bisa jadi suka."
sadness,iya maunya juga nikah. tapi..... lalaki na nu manaaaaaaa kamu sih enak punya calon. lah aku? bantal guling mau dipeluk aja hamdalah
anger,Hadeee ngomongin sesat pikir. Keknya mbak ini ga sadar pemikirannya soal verbal harrasment sbnrnya kecermin dari twit2 dia selama ini. emg anaknya suka digodain pake tytyd. gimana dong kalo VV dan mayoritas cewe ga satu selera sama lo? Harus terima digituin? Harus diem? :( [URL]
happy,"Untuk beberapa waktu biarlah kita bekerja sebagai bawahan, kelak kita bangun usaha sendiri, jadi pengelolanya sendiri, jadi bosnya sendiri, jadi petani yang selalu bangga dengan usaha sendiri. #nonelse"
fear,"pagi ini nonton berita headline nya bikin takut mulai dari 'Suami bunuh istri' , 'Kakek perkosa cucu' , 'Ayam bakar solo' . ngeri banget nih berita"
love,"!rp hai ele. Maaf ya gua ga romantis. Gua cuma mau ungkapin perasaan gua. Kalo gua itu tertarik sama lu, gua sayang sama lu, gua Cinta sama lu. Gua mau serius dengan perasaan gua. Dah gausah panjang. Ele will you be mine [USERNAME] [URL]"
sadness,"Nah. Nyetatus lah aku di wa ""broken heart is real with thousand of heart broken emojis haha ada pesan terselubung emang. Karna masnya juga ngga ada kabar sejak hari ulanh tahunnya jumat kemaren."
happy,[USERNAME] selamat ultah kak renoo wkwkw semoga kita bisa dipertemukan lagi di satu kelompok (kalo sama reno gppa deh). semoga bahagia dan sejahtera selalu bersama dek oza hehehe
fear,"Serem kang,kl sdh macetnya begitu. Padahal tol semua yaa..,Horor itu mah"
anger,"Ada seseorang merasa pancasila, tapi anti politik. Wong kita ini hidup di Negara Demokrasi yg menggunakan sistem politik. Makanya para politikus, cepat mengertilah. Bahwa tingkat apatisme masyarakat kita terhadap politik itu kian meninggi. Jgn terus berkorupsi dan ingkar janji."
happy,"Alhamdulillah, sudah menjadi fans dari sumber berita ANTARA [USERNAME] Ikutan kuy [USERNAME] [USERNAME] [USERNAME] semoga bisa menjadi #TemanANTARATerfavorit"
love,"Awal kami tidak saling kenal, tidak ada hubungan saudara. Namun di sini kami dari tidak kenal dan bertemu menjadi saudara dalam satu keluarga baru, inilah kenapa saya makin cinta Nasa."
sadness,"Gak jadi include kemang karna yg dp gak jelas php doang,tp besok fix include blokm masih ada 2slot kosong [USERNAME] [USERNAME] [USERNAME] [USERNAME]"
happy,"Setelah berbulan-bulan tertunda krn akreditasi rumah sakitnya lalu berminggu2 ngurus perizinannya, akhirnya bisa nyebar kuisioner juga:( [URL]"
fear,"Jadi semacam motivasi gitu pengen mengawasi pemilu bener2 dengan jadi pengawas TPS. Mengawal suara, jangan sampe ada kecurangan. Apalagi pilkada di tmarahang ini rawan banget. Secara yah calon tunggal gitu................."
happy,Kita yg tak punya apa apa dan tak seberapa ini disapa sobat misquen asik asik aja malah nyala balek damai segampang itu yah hebat uiy
love,"Kuakui aku jatuh cinta pada aksara, Oleh sebab itu aku bisa berbicara pada semesta walau hanya lewat untaian kata tapi yang kuceritakan ialah tentang kita"
fear,"Kemaren, pembagian nilai uts. Takut bener gue ga bisa imbangin pas uas. Kampus gue serem."
happy,"Ini Baru pemikiran Professor, biar Masih junior dibandingkan Professor cebong anu, yg ini lebih bermutu Dan punya dedikasi [URL]"
happy,"Pjlnn kereta api Jkt Jogja dst jg byk yg lbh indah, spt mlht lukisan.. Sungai yg besar dn bersih, gunung2 dn sawah.. Alam Asia Tenggara mmg memiliki culture yg mirip.. [URL]"
anger,"Wow ngeliat masalah mino di sini, jd awalnya gegara mistranslate? Dan yg bikin translate nya dr fandom ono? Wkwk not surprised sih, got7 juga kena mistranslate juga gegara tuh fandom. Heran, ikut campur bae masalah fandom org"
